,0
0,0.795418835066408
1,1.0634428912988318
2,1.1825029141304406
3,0.6774179370454767
4,0.8529771172499692
5,1.1939681352201132
6,1.182384682498317
7,0.3995333458044187
8,0.4917491118011237
9,0.40590132119903355
10,0.6896250104325239
11,1.1808744691207156
12,0.7996943453689946
13,0.8191680219162689
14,0.87477572687918
15,0.5264862381445591
16,0.8475752186345593
17,0.45043785340080644
18,0.9882345182839511
19,0.8827754636511456
20,0.7455546162434465
21,1.3206858623425755
22,0.5756426711501108
23,0.5972397905019795
24,0.8040378639229615
25,0.5547559017434873
26,0.9478358028629468
27,1.3151686731234162
